literacy,count
Read before she became blind,NOT-PROCESSED
Cannott read wte,NOT-PROCESSED
Cannot read can read or write,NOT-PROCESSED
Cannot read r none,NOT-PROCESSED
Rite a read,NOT-PROCESSED
One Thoms,NOT-PROCESSED
Cannot read no right,NOT-PROCESSED
Cant and write,NOT-PROCESSED
Read and or write,NOT-PROCESSED
Do not rde rite,NOT-PROCESSED
Red wr,NOT-PROCESSED
Ritter,NOT-PROCESSED
Read an writee,NOT-PROCESSED
Read letter,NOT-PROCESSED
He cannot r write,NOT-PROCESSED
Can reard and write,NOT-PROCESSED
Can nither read or write,NOT-PROCESSED
Read write Scholar,NOT-PROCESSED
Can red wit,NOT-PROCESSED
Cannot read only a baby,NOT-PROCESSED
Reades writs,NOT-PROCESSED
Cannot w nor w,NOT-PROCESSED
Fairly educated read,NOT-PROCESSED
Reede only,NOT-PROCESSED
Can read hebrew,NOT-PROCESSED
Reade w,NOT-PROCESSED
Cannot rd or we,NOT-PROCESSED
Attending school read,NOT-PROCESSED
Cannot write or reed,NOT-PROCESSED
Conet read or read,NOT-PROCESSED
Read writle,NOT-PROCESSED
Can not reed,NOT-PROCESSED
R an r,NOT-PROCESSED
Cannot rread write,NOT-PROCESSED
Can read cannot writ,NOT-PROCESSED
Can read not writ,NOT-PROCESSED
R and wrght,NOT-PROCESSED
Read and write NOT-PROCESSED standar,NOT-PROCESSED
Cannot read as write,NOT-PROCESSED
Neather reid or rig,NOT-PROCESSED
Cannot read or ite,NOT-PROCESSED
Canot re write,NOT-PROCESSED
Cant re write,NOT-PROCESSED
Ca read and W,NOT-PROCESSED
Seventh standerd r and r,NOT-PROCESSED
First standerd read only,NOT-PROCESSED
N teacher b a t c d,NOT-PROCESSED
Read only Scholar,NOT-PROCESSED
N teacher,NOT-PROCESSED
Third standerd r and r,NOT-PROCESSED
Rair write,NOT-PROCESSED
Rr,NOT-PROCESSED
Rede and wight,NOT-PROCESSED
Rede and right,NOT-PROCESSED
Scholars read and write,NOT-PROCESSED
Canto reed or rite,NOT-PROCESSED
Cannot read now,NOT-PROCESSED
Can't read and c,NOT-PROCESSED
Educated physician and surgeon,NOT-PROCESSED
Infants children,NOT-PROCESSED
Read and nrite,NOT-PROCESSED
Cant redd or wriet,NOT-PROCESSED
Too young for still,NOT-PROCESSED
Can read cnt cant rite,NOT-PROCESSED
Doses boths,NOT-PROCESSED
Doesnot read or write,NOT-PROCESSED
Cant r or wr,NOT-PROCESSED
Read only at school,NOT-PROCESSED
Cant r nor writ,NOT-PROCESSED
Neather r r,NOT-PROCESSED
Canot wrigh,NOT-PROCESSED
Canot wright,NOT-PROCESSED
She can reed,NOT-PROCESSED
R and writter,NOT-PROCESSED
Cant or write,NOT-PROCESSED
Cn read and write,NOT-PROCESSED
Read write scholar,NOT-PROCESSED
Read young,NOT-PROCESSED
Can read only and write,NOT-PROCESSED
BA LLB TCD,NOT-PROCESSED
First standerd read and write,NOT-PROCESSED
Reed or wright,NOT-PROCESSED
Cannot reed rite,NOT-PROCESSED
Canread only,NOT-PROCESSED
Reid cant wite,NOT-PROCESSED
Reid ar erit,NOT-PROCESSED
Reid w,NOT-PROCESSED
Write he and she,NOT-PROCESSED
Read and riet,NOT-PROCESSED
Read riet,NOT-PROCESSED
Infant child,NOT-PROCESSED
Illitatre,NOT-PROCESSED
Reads w,NOT-PROCESSED
Rannot read,NOT-PROCESSED
Cannot wrig,NOT-PROCESSED
Cannot read wite,NOT-PROCESSED
B. a. r. m. i. doctor of divinity (d. d),NOT-PROCESSED
In Arms,NOT-PROCESSED
Read and cannot w,NOT-PROCESSED
Nil nil,NOT-PROCESSED
Read raised letters,NOT-PROCESSED
Canot read rig,NOT-PROCESSED
Not red righ,NOT-PROCESSED
Not read righ,NOT-PROCESSED
Canot read r,NOT-PROCESSED
Can read righ,NOT-PROCESSED
Not read ri,NOT-PROCESSED
Could read only blind on can write,NOT-PROCESSED
Read and write undergraduate r.u.i,NOT-PROCESSED
Niether write,NOT-PROCESSED
Boarder,NOT-PROCESSED
Cant read wrte,NOT-PROCESSED
Cannot read or write no scholar,NOT-PROCESSED
Neither Read a write,NOT-PROCESSED
Cannot yes,NOT-PROCESSED
Reed and wre,NOT-PROCESSED
Cannot either Read or write,NOT-PROCESSED
Schoolr read and write,NOT-PROCESSED
At sholl,NOT-PROCESSED
Yes rite,NOT-PROCESSED
Read in wite,NOT-PROCESSED
Yesread and write,NOT-PROCESSED
Read and n write,NOT-PROCESSED
Reand and right,NOT-PROCESSED
Cantot read,NOT-PROCESSED
Drapers and c,NOT-PROCESSED
Read and whright,NOT-PROCESSED
Cannot read can read nor write,NOT-PROCESSED
Noot,NOT-PROCESSED
Cannot brad,NOT-PROCESSED
Connot read nor wte,NOT-PROCESSED
Infont,NOT-PROCESSED
Cannot reard nor write,NOT-PROCESSED
Or canot read,NOT-PROCESSED
Cantnot read,NOT-PROCESSED
Can red or write,NOT-PROCESSED
Can cannot read,NOT-PROCESSED
Neither read or wri,NOT-PROCESSED
Cannot read she cannot rite,NOT-PROCESSED
Rread and rrite,NOT-PROCESSED
Rade and write,NOT-PROCESSED
English can read and write,NOT-PROCESSED
Query neither,NOT-PROCESSED
M A Trin Coll Com,NOT-PROCESSED
Can read and write a Little,NOT-PROCESSED
Cannet write,NOT-PROCESSED
Read not book,NOT-PROCESSED
Reed wrig,NOT-PROCESSED
Reddwrite,NOT-PROCESSED
Can not read an write,NOT-PROCESSED
H cannot read,NOT-PROCESSED
Not nor write,NOT-PROCESSED
Reador,NOT-PROCESSED
Reads rites,NOT-PROCESSED
Can not read right,NOT-PROCESSED
Cant w,NOT-PROCESSED
School master,NOT-PROCESSED
Cannot read not read or write,NOT-PROCESSED
Neither of thosse,NOT-PROCESSED
Nannot read or write,NOT-PROCESSED
Cannot r n w,NOT-PROCESSED
Unable to read or rite,NOT-PROCESSED
Rd and w,NOT-PROCESSED
Read an wrght,NOT-PROCESSED
Writer,NOT-PROCESSED
Read and write irish can read write,NOT-PROCESSED
Bachelor of Arts,NOT-PROCESSED
Write his name only,NOT-PROCESSED
Cannot and cannot,NOT-PROCESSED
Illetrst,NOT-PROCESSED
Can reat and rite,NOT-PROCESSED
Neighor r or w,NOT-PROCESSED
?not read,NOT-PROCESSED
Redd not write,NOT-PROCESSED
Read and Catholic,NOT-PROCESSED
Read and rts,NOT-PROCESSED
Canno read and write,NOT-PROCESSED
Red and writie,NOT-PROCESSED
Read and write poorly,NOT-PROCESSED
Cant reaid,NOT-PROCESSED
Cant read r rite,NOT-PROCESSED
Canot reed or wright,NOT-PROCESSED
R righ,NOT-PROCESSED
Can read scollor,NOT-PROCESSED
Can neither r and c w,NOT-PROCESSED
Can neither and c rite,NOT-PROCESSED
Canot rea nor writ,NOT-PROCESSED
No can not read or write,NOT-PROCESSED
Both School,NOT-PROCESSED
Bread,NOT-PROCESSED
Cannot r nor wrte,NOT-PROCESSED
Can red nor write,NOT-PROCESSED
Cannot read scl,NOT-PROCESSED
Scholate,NOT-PROCESSED
Can reaad and wrte,NOT-PROCESSED
Read wriht,NOT-PROCESSED
Cannot wirte,NOT-PROCESSED
Reade wr,NOT-PROCESSED
Dont write or read,NOT-PROCESSED
Can read a ri,NOT-PROCESSED
No Both,NOT-PROCESSED
Read only write,NOT-PROCESSED
Cannnot read or rite,NOT-PROCESSED
Can reed and rigt,NOT-PROCESSED
Ct read and write,NOT-PROCESSED
Cannott rite,NOT-PROCESSED
Cannot read i l,NOT-PROCESSED
Cannor reid,NOT-PROCESSED
Cannot read nor rigt,NOT-PROCESSED
Reod and writ,NOT-PROCESSED
Reod and wrt,NOT-PROCESSED
Can read write and c,NOT-PROCESSED
Cannot read not only,NOT-PROCESSED
Cannot R and w,NOT-PROCESSED
Can rit read,NOT-PROCESSED
She read write,NOT-PROCESSED
C read no w,NOT-PROCESSED
F and read,NOT-PROCESSED
Cannot Read Write,NOT-PROCESSED
Schoaler,NOT-PROCESSED
Pretty well,NOT-PROCESSED
Very good,NOT-PROCESSED
Very well,NOT-PROCESSED
Read an wrt,NOT-PROCESSED
Wrede and rite,NOT-PROCESSED
Canot r nor write,NOT-PROCESSED
Head read only,NOT-PROCESSED
Wife read write,NOT-PROCESSED
Cannot red rit,NOT-PROCESSED
Read and write little,NOT-PROCESSED
Neighter reed nor right,NOT-PROCESSED
R read write,NOT-PROCESSED
Can read and write Both,NOT-PROCESSED
H Can,NOT-PROCESSED
Cannot read and wrg,NOT-PROCESSED
Donl write,NOT-PROCESSED
Canot red nor,NOT-PROCESSED
Rad or right,NOT-PROCESSED
Can reatt only,NOT-PROCESSED
Can reade wr,NOT-PROCESSED
He cannot r and write,NOT-PROCESSED
Yes right and read,NOT-PROCESSED
Cannot orr read,NOT-PROCESSED
Not r or r,NOT-PROCESSED
Cannot r and w or,NOT-PROCESSED
Canot a write,NOT-PROCESSED
Read and write latin french irish english,NOT-PROCESSED
Not reed not right,NOT-PROCESSED
Cannot r of write,NOT-PROCESSED
Not r not rite,NOT-PROCESSED
Only Read,NOT-PROCESSED
A little read and wright,NOT-PROCESSED
Read only learing,NOT-PROCESSED
Write read slightly,NOT-PROCESSED
Canorot reed,NOT-PROCESSED
Conot read nor rite,NOT-PROCESSED
Iletterate,NOT-PROCESSED
C n read or w,NOT-PROCESSED
C n r or write,NOT-PROCESSED
Can write or r,NOT-PROCESSED
Cannd read,NOT-PROCESSED
Not all r and write,NOT-PROCESSED
Can not read on write,NOT-PROCESSED
Cannot read or write only,NOT-PROCESSED
Read ad righ,NOT-PROCESSED
Can r not write,NOT-PROCESSED
Canotte read,NOT-PROCESSED
Pead and write,NOT-PROCESSED
Neher read or write,NOT-PROCESSED
Cannot Read Infant,NOT-PROCESSED
Dont and read,NOT-PROCESSED
Can rade write,NOT-PROCESSED
Read and write when in healthy,NOT-PROCESSED
Wrigte,NOT-PROCESSED
Dos not read,NOT-PROCESSED
Read raised,NOT-PROCESSED
Re wre,NOT-PROCESSED
R wrt,NOT-PROCESSED
Can wr read,NOT-PROCESSED
Yes cannot read,NOT-PROCESSED
Cant read or rght,NOT-PROCESSED
Camot read or write,NOT-PROCESSED
Cannott r write,NOT-PROCESSED
Cannott r or writ,NOT-PROCESSED
Cann read nor write,NOT-PROCESSED
Canot right,NOT-PROCESSED
Cant w or r,NOT-PROCESSED
Illitarate,NOT-PROCESSED
Read and write english and iresh,NOT-PROCESSED
C read wright,NOT-PROCESSED
Read camot write,NOT-PROCESSED
Cannot reid nor rite,NOT-PROCESSED
Domestic servant,NOT-PROCESSED
Nether reid nor right,NOT-PROCESSED
Neighter reed right,NOT-PROCESSED
Wrts,NOT-PROCESSED
Rededs,NOT-PROCESSED
Neaither,NOT-PROCESSED
In chool,NOT-PROCESSED
Canot read rit,NOT-PROCESSED
Cannoot write,NOT-PROCESSED
Yess read,NOT-PROCESSED
Read's only,NOT-PROCESSED
C not r or write,NOT-PROCESSED
Read very little,NOT-PROCESSED
Cannot writes,NOT-PROCESSED
Cane not,NOT-PROCESSED
Cant yet,NOT-PROCESSED
Rread and w,NOT-PROCESSED
Read writer yes,NOT-PROCESSED
Nether read nor rite,NOT-PROCESSED
R cannot read or,NOT-PROCESSED
Cannot read nor read or write,NOT-PROCESSED
Not read nor wr,NOT-PROCESSED
He and she can,NOT-PROCESSED
Jor cannot read or write,NOT-PROCESSED
Red in rite,NOT-PROCESSED
Can read and speak four languages,NOT-PROCESSED
Reads but cannot write,NOT-PROCESSED
Reed riaht,NOT-PROCESSED
Cannot rd and w,NOT-PROCESSED
Connensing and read,NOT-PROCESSED
Cannot read Infantile,NOT-PROCESSED
Cannot red or wr,NOT-PROCESSED
Cannot read o wrt,NOT-PROCESSED
Cannot read nor read,NOT-PROCESSED
Read and written,NOT-PROCESSED
Can't Read or Write,NOT-PROCESSED
Cant R or Write,NOT-PROCESSED
Reading rite,NOT-PROCESSED
Cana read and write,NOT-PROCESSED
He can reade write,NOT-PROCESSED
Rriad and write,NOT-PROCESSED
Cannat read,NOT-PROCESSED
Cannat r or write,NOT-PROCESSED
Unable through bodily infirmity read and write,NOT-PROCESSED
Red not rite,NOT-PROCESSED
Worker,NOT-PROCESSED
Both red rite,NOT-PROCESSED
Scollar read and write,NOT-PROCESSED
Cant read or write none,NOT-PROCESSED
Canot read or wrig,NOT-PROCESSED
Can reed and,NOT-PROCESSED
Bookkeeper,NOT-PROCESSED
Trained nurse,NOT-PROCESSED
Read and i,NOT-PROCESSED
Ead and write,NOT-PROCESSED
Read a and write,NOT-PROCESSED
Cant rite red,NOT-PROCESSED
Cannonot read,NOT-PROCESSED
NOT-PROCESSEDnd class,NOT-PROCESSED
Yes of write,NOT-PROCESSED
Canot rear or wite,NOT-PROCESSED
Cannot read read only,NOT-PROCESSED
Rean only,NOT-PROCESSED
Cannot read c read or write,NOT-PROCESSED
Rreed and write,NOT-PROCESSED
I can read only,NOT-PROCESSED
Learning to,NOT-PROCESSED
Cant read or wrght,NOT-PROCESSED
Cen read,NOT-PROCESSED
Cannot reid and write,NOT-PROCESSED
Read nor w,NOT-PROCESSED
Norskt,NOT-PROCESSED
Ca'nt read nor write,NOT-PROCESSED
Caannot read,NOT-PROCESSED
She can read etc,NOT-PROCESSED
Can yet,NOT-PROCESSED
Cannot reaed or write,NOT-PROCESSED
Can rod and write,NOT-PROCESSED
Cand not read nor rite,NOT-PROCESSED
Not wright not read,NOT-PROCESSED
Cannot read not educated,NOT-PROCESSED
Read and write B A Dub Univ,NOT-PROCESSED
Fair Read and write,NOT-PROCESSED
Old read write,NOT-PROCESSED
Read and write french and english,NOT-PROCESSED
Cannot r rad,NOT-PROCESSED
Governess,NOT-PROCESSED
N read and write,NOT-PROCESSED
Can read letter,NOT-PROCESSED
Scholarship,NOT-PROCESSED
Cannot now,NOT-PROCESSED
Cannt red only,NOT-PROCESSED
Red and riate,NOT-PROCESSED
write and read,NOT-PROCESSED
An read write,NOT-PROCESSED
Read and wrtle,NOT-PROCESSED
Cant r r,NOT-PROCESSED
Read writs,NOT-PROCESSED
Bre read and write,NOT-PROCESSED
Redds,NOT-PROCESSED
Far cant,NOT-PROCESSED
Can't Read,NOT-PROCESSED
Not able to read or or write,NOT-PROCESSED
Abbt read and write,NOT-PROCESSED
Both red write,NOT-PROCESSED
Read an wi,NOT-PROCESSED
C rite read,NOT-PROCESSED
Not ?,NOT-PROCESSED
Cannot t b read,NOT-PROCESSED
Uneducation,NOT-PROCESSED
Can or read,NOT-PROCESSED
Neigher read or write,NOT-PROCESSED
Can reard write,NOT-PROCESSED
Can not red or rit,NOT-PROCESSED
Rrite and write,NOT-PROCESSED
Can't reed,NOT-PROCESSED
Red but cannot write,NOT-PROCESSED
Rd cant write,NOT-PROCESSED
Can not read or wr,NOT-PROCESSED
Can read wrtte,NOT-PROCESSED
Read and write too young,NOT-PROCESSED
C read ad write,NOT-PROCESSED
Neather read or wright,NOT-PROCESSED
Cannot read and writer,NOT-PROCESSED
Educated A. J. C. D.,NOT-PROCESSED
Can onely read,NOT-PROCESSED
Cannot son,NOT-PROCESSED
He read,NOT-PROCESSED
No (infant),NOT-PROCESSED
Canot read r rite,NOT-PROCESSED
Read to right,NOT-PROCESSED
Can or read and write,NOT-PROCESSED
M A J teb,NOT-PROCESSED
Not Write,NOT-PROCESSED
Cant and read write cannot,NOT-PROCESSED
Cant redd nor write,NOT-PROCESSED
Rean not,NOT-PROCESSED
Read rite e,NOT-PROCESSED
Can read print,NOT-PROCESSED
Both ?,NOT-PROCESSED
Schololar,NOT-PROCESSED
Reader and wrte,NOT-PROCESSED
Cannot and reed,NOT-PROCESSED
Cannot ret,NOT-PROCESSED
Read and wegh,NOT-PROCESSED
Read nd writ,NOT-PROCESSED
Read can not write,NOT-PROCESSED
Cannot read or wirt,NOT-PROCESSED
Can can read,NOT-PROCESSED
?rite,NOT-PROCESSED
Could have read,NOT-PROCESSED
Can read rte,NOT-PROCESSED
Servant can read and write,NOT-PROCESSED
Begining,NOT-PROCESSED
Cannot read neighter,NOT-PROCESSED
Read and waths,NOT-PROCESSED
Can rede and rite,NOT-PROCESSED
To young to write,NOT-PROCESSED
Canot read or wirte,NOT-PROCESSED
Cannot read wrig nor,NOT-PROCESSED
can Read and write,NOT-PROCESSED
Cannor Read,NOT-PROCESSED
Red writer,NOT-PROCESSED
Raid and write,NOT-PROCESSED
Not raid nor write,NOT-PROCESSED
He Cannot read or write,NOT-PROCESSED
Reed and wriet,NOT-PROCESSED
Cnot read nor rite,NOT-PROCESSED
Ridd write,NOT-PROCESSED
In scholar,NOT-PROCESSED
Catholic can read and write,NOT-PROCESSED
Can't read or right,NOT-PROCESSED
]Read and write,NOT-PROCESSED
Read wrieht,NOT-PROCESSED
Read and rihgt,NOT-PROCESSED
Canot wort,NOT-PROCESSED
M d read and write,NOT-PROCESSED
Cannott write or read,NOT-PROCESSED
Shcolar,NOT-PROCESSED
Not reed wrte,NOT-PROCESSED
Cannott not read,NOT-PROCESSED
Not re,NOT-PROCESSED
P,NOT-PROCESSED
Cant reed rite,NOT-PROCESSED
C no,NOT-PROCESSED
Not able to speak,NOT-PROCESSED
Not able to read not write,NOT-PROCESSED
Canot redd or write,NOT-PROCESSED
She can reed write,NOT-PROCESSED
Read an wite,NOT-PROCESSED
Beigner,NOT-PROCESSED
Read School,NOT-PROCESSED
Dont rea and write,NOT-PROCESSED
Read enlish,NOT-PROCESSED
Canat read,NOT-PROCESSED
None none,NOT-PROCESSED
Read and writne,NOT-PROCESSED
Rreed and right,NOT-PROCESSED
Raid or right,NOT-PROCESSED
Can re and rite,NOT-PROCESSED
Raad and rite,NOT-PROCESSED
Read write a Letter,NOT-PROCESSED
None neither,NOT-PROCESSED
Can ead and write,NOT-PROCESSED
Neither read wright,NOT-PROCESSED
Read and brate,NOT-PROCESSED
Cannot rade or write,NOT-PROCESSED
Can r and,NOT-PROCESSED
Cannot red or wrie,NOT-PROCESSED
Cant rd nor write,NOT-PROCESSED
Neither R or write,NOT-PROCESSED
Can writte,NOT-PROCESSED
Canot riad or rite,NOT-PROCESSED
Nither Read and write,NOT-PROCESSED
Redd writer,NOT-PROCESSED
No cannot r or wt,NOT-PROCESSED
Read only cannot rite,NOT-PROCESSED
Can read and wite english only,NOT-PROCESSED
Read and wrotte,NOT-PROCESSED
Neith read and write,NOT-PROCESSED
Canly read,NOT-PROCESSED
Cant not write,NOT-PROCESSED
R-Write,NOT-PROCESSED
Rom write,NOT-PROCESSED
Not or rite,NOT-PROCESSED
I am both,NOT-PROCESSED
Reat w,NOT-PROCESSED
Cannot read or write can read and write,NOT-PROCESSED
Cannot read not rite,NOT-PROCESSED
Read and write all can reed,NOT-PROCESSED
Cannot rao or write,NOT-PROCESSED
Riead and rite,NOT-PROCESSED
Ilerate,NOT-PROCESSED
He read onely,NOT-PROCESSED
Read but not now-defection sight,NOT-PROCESSED
Read and write AB Tram?,NOT-PROCESSED
Able to r and write,NOT-PROCESSED
Cnnt read or write,NOT-PROCESSED
Read canot w,NOT-PROCESSED
Cannot do neither,NOT-PROCESSED
Alphabile,NOT-PROCESSED
Can red and rgt,NOT-PROCESSED
Ree cannot read,NOT-PROCESSED
Can re wr,NOT-PROCESSED
Can re wri,NOT-PROCESSED
Canot read or writte,NOT-PROCESSED
Scholr,NOT-PROCESSED
Cant redd or rite,NOT-PROCESSED
Can reid can rite,NOT-PROCESSED
Read and Scholar,NOT-PROCESSED
Information refused,NOT-PROCESSED
Classied ed,NOT-PROCESSED
Read write non after cataract,NOT-PROCESSED
Read and Write teacher,NOT-PROCESSED
Educatted,NOT-PROCESSED
Not red and rite,NOT-PROCESSED
Cant read nor and w,NOT-PROCESSED
Cant r of write,NOT-PROCESSED
Donot read child,NOT-PROCESSED
Riaad and write,NOT-PROCESSED
Cannot read on (write),NOT-PROCESSED
Cannot read ? write,NOT-PROCESSED
Cannote r,NOT-PROCESSED
He cannot write,NOT-PROCESSED
Read and write a Little Learning,NOT-PROCESSED
Can reed right,NOT-PROCESSED
Read and write Englishe,NOT-PROCESSED
Write only cannot read,NOT-PROCESSED
Can reead and rite,NOT-PROCESSED
Able to read or write,NOT-PROCESSED
Scholar r and w,NOT-PROCESSED
At choole,NOT-PROCESSED
Write and reead,NOT-PROCESSED
Can r and ri,NOT-PROCESSED
Lering to read r,NOT-PROCESSED
Learing to read r,NOT-PROCESSED
Reall write,NOT-PROCESSED
Read whrte,NOT-PROCESSED
Rreed rite,NOT-PROCESSED
Embroider,NOT-PROCESSED
Cannot read and write ather,NOT-PROCESSED
Cannot read a writ,NOT-PROCESSED
Can't r w,NOT-PROCESSED
Cannot read or write scholars,NOT-PROCESSED
W and read write,NOT-PROCESSED
Can not speak,NOT-PROCESSED
Cannot write read owing to illness,NOT-PROCESSED
Raad,NOT-PROCESSED
Reade wright,NOT-PROCESSED
Living on money,NOT-PROCESSED
Read and write master of arts,NOT-PROCESSED
Co read only,NOT-PROCESSED
Cont,NOT-PROCESSED
Cannot read and write nither,NOT-PROCESSED
Only speaks,NOT-PROCESSED
A little write,NOT-PROCESSED
Can't red,NOT-PROCESSED
Illiterute,NOT-PROCESSED
Goining to School,NOT-PROCESSED
Can write a read,NOT-PROCESSED
Untaught,NOT-PROCESSED
Not at schoole,NOT-PROCESSED
Read and write or write,NOT-PROCESSED
Rarely,NOT-PROCESSED
Cannot reand or write,NOT-PROCESSED
Can read an W,NOT-PROCESSED
Read No,NOT-PROCESSED
Cant redd or write,NOT-PROCESSED
Choaler,NOT-PROCESSED
Read and write scohlars,NOT-PROCESSED
Scohlars read,NOT-PROCESSED
Cant and rite,NOT-PROCESSED
Riade and write,NOT-PROCESSED
Cat read nor rite,NOT-PROCESSED
M k read,NOT-PROCESSED
Read spiner,NOT-PROCESSED
Cannot nor write read,NOT-PROCESSED
Not read and or write,NOT-PROCESSED
Canot Read write,NOT-PROCESSED
Reade and w,NOT-PROCESSED
Can not red or rite rite,NOT-PROCESSED
Read cant or write,NOT-PROCESSED
Read none,NOT-PROCESSED
Write an read,NOT-PROCESSED
Reand an write,NOT-PROCESSED
Read and write c talk,NOT-PROCESSED
Can read and wrd,NOT-PROCESSED
Can't read and wr,NOT-PROCESSED
Read primmer,NOT-PROCESSED
Not rigt,NOT-PROCESSED
Not rit,NOT-PROCESSED
Right rigt,NOT-PROCESSED
Connot wri and nor rite,NOT-PROCESSED
Cant read no wright,NOT-PROCESSED
Not cannot read,NOT-PROCESSED
Read and right only,NOT-PROCESSED
No ed,NOT-PROCESSED
Schoolboy,NOT-PROCESSED
Higher standard,NOT-PROCESSED
Schoolchild,NOT-PROCESSED
Read and copied,NOT-PROCESSED
Wite and read,NOT-PROCESSED
Can not reed or write,NOT-PROCESSED
Read and ony,NOT-PROCESSED
Can rd rite,NOT-PROCESSED
Roman c read write,NOT-PROCESSED
Cant r or rt,NOT-PROCESSED
Reader only,NOT-PROCESSED
Rean an write,NOT-PROCESSED
Cannot read or wriet,NOT-PROCESSED
P Scholar,NOT-PROCESSED
Write and raed,NOT-PROCESSED
A scholar,NOT-PROCESSED
Cannott reid and write,NOT-PROCESSED
Cannot reid write,NOT-PROCESSED
Cannot reid ?,NOT-PROCESSED
In first class,NOT-PROCESSED
Cant write but read,NOT-PROCESSED
Not re or write,NOT-PROCESSED
or Cannot read,NOT-PROCESSED
Scolour,NOT-PROCESSED
Can read and writhe,NOT-PROCESSED
When she ? read and write,NOT-PROCESSED
Or writ,NOT-PROCESSED
Read onoley,NOT-PROCESSED
Cant read etc,NOT-PROCESSED
Canot reide,NOT-PROCESSED
Wreed and right,NOT-PROCESSED
Not rite read,NOT-PROCESSED
Can right and read,NOT-PROCESSED
Can only read write,NOT-PROCESSED
Fairly good,NOT-PROCESSED
Read cannot right,NOT-PROCESSED
Able read,NOT-PROCESSED
Both cannot read and rite,NOT-PROCESSED
Cannot read illeturate,NOT-PROCESSED
? cannot read,NOT-PROCESSED
C or write cannot read,NOT-PROCESSED
Reading writeting,NOT-PROCESSED
Cannot r and w and w,NOT-PROCESSED
Can resd and write,NOT-PROCESSED
Cannot rea illiterate,NOT-PROCESSED
Illeterate cannot read,NOT-PROCESSED
For young,NOT-PROCESSED
Can reads only,NOT-PROCESSED
Ct r,NOT-PROCESSED
Rread and wwrite,NOT-PROCESSED
Cannot read or write as yet,NOT-PROCESSED
Read cant rite,NOT-PROCESSED
Neather read and write,NOT-PROCESSED
Can read a wr,NOT-PROCESSED
Cannot read both,NOT-PROCESSED
Read or wri,NOT-PROCESSED
Cannot red or wri,NOT-PROCESSED
Not read not,NOT-PROCESSED
No read not,NOT-PROCESSED
Reader and r,NOT-PROCESSED
Dont write and read,NOT-PROCESSED
Can rede rite,NOT-PROCESSED
Infant clalls,NOT-PROCESSED
Cant read n rite,NOT-PROCESSED
Can read nor wright,NOT-PROCESSED
Can read wirte,NOT-PROCESSED
Can reaid,NOT-PROCESSED
Can neither nor write,NOT-PROCESSED
Red werit,NOT-PROCESSED
Read werite,NOT-PROCESSED
Knows to read write,NOT-PROCESSED
Not able to speak yes,NOT-PROCESSED
Can not red or write,NOT-PROCESSED
He Can read write,NOT-PROCESSED
Read or write cannot,NOT-PROCESSED
Catholic read,NOT-PROCESSED
Cannot or illiterate,NOT-PROCESSED
Not yet speaking,NOT-PROCESSED
Cann red,NOT-PROCESSED
Neith read or write,NOT-PROCESSED
Cannot read not gone to school,NOT-PROCESSED
Cannot write read or write,NOT-PROCESSED
Pretty Fair,NOT-PROCESSED
Read onoly,NOT-PROCESSED
A little both,NOT-PROCESSED
Cholam,NOT-PROCESSED
Daughter,NOT-PROCESSED
Dont r or r,NOT-PROCESSED
Can read moon's raised letters,NOT-PROCESSED
Cant not,NOT-PROCESSED
Canot read nor writ,NOT-PROCESSED
Cannot ? write,NOT-PROCESSED
Irish only,NOT-PROCESSED
Cannt riad,NOT-PROCESSED
Read rites,NOT-PROCESSED
Scholara,NOT-PROCESSED
Cant write but can read,NOT-PROCESSED
Patrick lennon,NOT-PROCESSED
C r or r,NOT-PROCESSED
Ready and rite,NOT-PROCESSED
Reed rwrite,NOT-PROCESSED
Write write,NOT-PROCESSED
Cannot read nor cant write,NOT-PROCESSED
Education not command,NOT-PROCESSED
Rid and rite,NOT-PROCESSED
Goin Chool,NOT-PROCESSED
Cannot red or wright,NOT-PROCESSED
Can r wr,NOT-PROCESSED
Read only school,NOT-PROCESSED
Canot rd nor write,NOT-PROCESSED
He can not,NOT-PROCESSED
Can reaad and w,NOT-PROCESSED
Read wride,NOT-PROCESSED
O cannot read,NOT-PROCESSED
Can't read or writ,NOT-PROCESSED
co read and write,NOT-PROCESSED
Can read r write,NOT-PROCESSED
Can neither read not write,NOT-PROCESSED
Canot read are right,NOT-PROCESSED
Blind Cannot read and write,NOT-PROCESSED
Landress,NOT-PROCESSED
Riad nor write,NOT-PROCESSED
Reide,NOT-PROCESSED
Can rread,NOT-PROCESSED
Read write and c or read,NOT-PROCESSED
Read only cat,NOT-PROCESSED
Can write and cannot read,NOT-PROCESSED
Read not rit,NOT-PROCESSED
Can reat a write,NOT-PROCESSED
Read ol,NOT-PROCESSED
Cannot wred or write,NOT-PROCESSED
Can read etc write,NOT-PROCESSED
Can read n write,NOT-PROCESSED
Cannot bead,NOT-PROCESSED
C rea not write,NOT-PROCESSED
Not rd and write,NOT-PROCESSED
Can write and re,NOT-PROCESSED
Can read and write Irish and English,NOT-PROCESSED
Cannot read infant class,NOT-PROCESSED
Reed wrtte,NOT-PROCESSED
Cant read and writer,NOT-PROCESSED
Canot reed and write,NOT-PROCESSED
Cannot ride,NOT-PROCESSED
Write yes read,NOT-PROCESSED
Rea cannot read,NOT-PROCESSED
Neithe r and w,NOT-PROCESSED
write and write,NOT-PROCESSED
Cant read nor,NOT-PROCESSED
